payloadData,dev_eui,ts,frame
ac8jCRIAAAKzAAA=,464c58212beca0c9,2026-04-03T02:16:38.000Z,"{""MessageId"":""0167e782-7a86-4971-abb5-ea50d221e26a"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""ac8jCRIAAAKzAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""0"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":1,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-50,""Snr"":12.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-98,""Snr"":9.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-102,""Snr"":10.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-108,""Snr"":4.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-111,""Snr"":1.75}],""MIC"":""63f461df"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":10,""Timestamp"":""2026-04-03T02:16:38Z""}}}"
ac8jCRICAAAZAAA=,464c58212beca0c9,2026-04-03T02:16:46.000Z,"{""MessageId"":""b9deeb21-5ac9-4192-a84b-4a60f23c44eb"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""ac8jCRICAAAZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":3,""FOptLen"":1,""FPort"":20,""Frequency"":""904500000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-54,""Snr"":14},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-106,""Snr"":8.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-112,""Snr"":0.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-112,""Snr"":0.5},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-113,""Snr"":-0.5}],""MIC"":""e6ce9018"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T02:16:46Z""}}}"
ac8jCRIEAAA/AAA=,464c58212beca0c9,2026-04-03T02:16:56.000Z,"{""MessageId"":""52c81942-c72d-45ec-8b16-21abb40a1884"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""ac8jCRIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":5,""FOptLen"":0,""FPort"":20,""Frequency"":""905300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-50,""Snr"":11},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-109,""Snr"":4.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-112,""Snr"":0.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-113,""Snr"":-1.75}],""MIC"":""33647d06"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T02:16:56Z""}}}"
ac8jCRIFAAAhAAA=,464c58212beca0c9,2026-04-03T02:17:01.000Z,"{""MessageId"":""7defcb18-dc77-4505-88ec-c287d8b59a04"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""ac8jCRIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":6,""FOptLen"":0,""FPort"":20,""Frequency"":""904100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-56,""Snr"":14},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-104,""Snr"":9},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-106,""Snr"":7.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-114,""Snr"":-1.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-115,""Snr"":-1.5}],""MIC"":""af42aedb"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T02:17:01Z""}}}"
adAf/xANkgAAAAA=,464c58212beca0c9,2026-04-03T20:15:44.000Z,"{""MessageId"":""a221aa2f-a63a-47de-a20b-34aeb13b0c95"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xANkgAAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":7,""FOptLen"":0,""FPort"":20,""Frequency"":""905100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-51,""Snr"":13.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-107,""Snr"":3.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-112,""Snr"":2.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-108,""Snr"":2.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-113,""Snr"":-1.5}],""MIC"":""0948f6ee"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:15:44Z""}}}"
adAf/xIAAAKzAAA=,464c58212beca0c9,2026-04-03T20:15:48.000Z,"{""MessageId"":""cce1299c-56a1-4a73-8647-4dd9735b261c"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xIAAAKzAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":9,""FOptLen"":0,""FPort"":20,""Frequency"":""904300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-55,""Snr"":9.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-102,""Snr"":7},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-104,""Snr"":7.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-114,""Snr"":-1.5},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-115,""Snr"":-1.5}],""MIC"":""feb0de93"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:15:48Z""}}}"
adAf/xIBAABAAAA=,464c58212beca0c9,2026-04-03T20:15:52.000Z,"{""MessageId"":""1a1a0b8b-5ccc-406f-aca5-3d02e22b5141"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xIBAABAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":11,""FOptLen"":0,""FPort"":20,""Frequency"":""904700000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-53,""Snr"":13.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-97,""Snr"":5.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-111,""Snr"":2.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-114,""Snr"":2.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-115,""Snr"":-1.25}],""MIC"":""c6fbd13a"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:15:52Z""}}}"
adAf/xICAAAZAAA=,464c58212beca0c9,2026-04-03T20:15:56.000Z,"{""MessageId"":""85e6e4c6-16e9-43d1-85e8-ed852839f7be"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xICAAAZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":12,""FOptLen"":0,""FPort"":20,""Frequency"":""904300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-56,""Snr"":11.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-101,""Snr"":9},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-114,""Snr"":0.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-114,""Snr"":-0.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-3}],""MIC"":""3e744148"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:15:56Z""}}}"
adAf/xIDAAAMAAA=,464c58212beca0c9,2026-04-03T20:16:00.000Z,"{""MessageId"":""cd5b3eec-f99d-4d17-8ebe-be9619b04280"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xIDAAAMAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":13,""FOptLen"":0,""FPort"":20,""Frequency"":""904500000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-54,""Snr"":14.25},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-107,""Snr"":7.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-108,""Snr"":6},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-110,""Snr"":2.75}],""MIC"":""090c3028"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:00Z""}}}"
adAf/xIEAAA/AAA=,464c58212beca0c9,2026-04-03T20:16:04.000Z,"{""MessageId"":""6f9bc7a6-1448-414a-9d55-cfe3404c5187"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":14,""FOptLen"":0,""FPort"":20,""Frequency"":""904100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-57,""Snr"":14},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-100,""Snr"":10.75},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-109,""Snr"":6.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-110,""Snr"":3},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-117,""Snr"":-3.25}],""MIC"":""3345eb14"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:04Z""}}}"
