asset_id,dev_eui,join_eui,app_key,provision_utc,fw_version,hw_version,epd
UNIT-0001,464C58E2C6007241,8EA591314AF4C4A3,78746BE39AA9B56811B16EE092C8F426,2026-05-14T02:18:38Z,1.3.1,1.4.1,
UNIT-0002,464C58AA8523A0AA,DE7CDE55E7BDD5BD,BE28DE2F3A602363F255EDD325CCDD70,2026-05-14T02:25:46Z,1.3.1,1.4.1,
UNIT-0003,464C58483159E5A6,E2310E9B06858337,BDDEDEEDF7CDCA8140D5C3930C1D5478,2026-05-14T02:28:09Z,1.3.1,1.4.1,0
UNIT-0004,464C5881D2673E66,72475DAE70822A2C,C540C4E0696898CD65E63D9A12A341BF,2026-05-14T02:28:18Z,1.3.1,1.4.1,0
UNIT-0005,464C58111B925EB6,8A3ACBA2E1DCC8F7,9C2B9BF00778E5B97F67C256FE635223,2026-05-14T02:28:18Z,1.3.1,1.4.1,0
UNIT-0006,464C58CD43ED04B0,B60F73D8DB33AA26,8B182E24ECF337EB2EAE267019B41DB1,2026-05-14T02:28:19Z,1.3.1,1.4.1,0
UNIT-0007,464C58FA6143A778,9AB7700E65BDFC1F,931BF3B6FD08E698D2AE7098B017870C,2026-05-14T02:28:20Z,1.3.1,1.4.1,0
UNIT-0008,464C5837EE812829,1A99A5D35DA68CFB,7E639823A52B1DC9054AC5843D0357C8,2026-05-14T02:28:20Z,1.3.1,1.4.1,0
UNIT-0009,464C585EF93A1A83,C26539575A8F7EB2,136B2108041E87E08B8F1335E505BA82,2026-05-14T02:28:32Z,1.3.1,1.4.1,0
UNIT-0010,464C58A0BE79CB65,3602669A073B9D9C,65BF37FF42DE37EDCF65D7D0900A3F29,2026-05-14T02:28:32Z,1.3.1,1.4.1,0
UNIT-0011,464C588D3C86ADC2,32D7154C8E08E109,563B4CBCB7F2749C79286581465FBD5E,2026-05-14T02:28:36Z,1.3.1,1.4.1,0
