asset_id,dev_eui,join_eui,app_key
UNIT-0001,464C58C120FF0B8E,CA10FAE96DF3F6A6,14350F59285F3C8830D51548B591EA39
UNIT-0002,464C58C63A947303,8E043B8353352EB5,6A024C61973139585B8E517433C1F193
UNIT-0003,464C58780C669EA9,DE94392A6C3C3CA3,2E0B289FEB8F9223931CB34495ECB35E
UNIT-0004,464C58F9F0369A65,66BD38A009C8F651,05D8839EC45FF1E792CBE311501DAE80
UNIT-0005,464C589660DAA28B,9A03017C09698D83,2ACF27734B0F3386CA78EB906C3634E9
UNIT-0006,464C582E4CAA3F21,5A264F8C9DD7DF9A,16A3FDC32DF05788DEB3C5724990C33A
UNIT-0007,464C58035E62D156,BA0AF1CB73F7D50A,427EF01D0756D50D83A647C15B72619B
UNIT-0008,464C58F2A348C01A,E200AB6D7EE12E9A,A2C79F01A3EB49725A010F9D76908F1E
UNIT-0009,464C58F61F4BC52D,FE53B4A514986D20,C79A336395CE7A279E7640C5633E581D
UNIT-0010,464C58D85825AF75,5A939510669CF9EA,4A4E5A5D47D1B4BBB963FFA25D6977A9
UNIT-0011,464C58AD1221172A,763BAA12DAE4C397,75B958ED075E33C18E56DAA498AEEA4A
UNIT-0012,464C58B9AB7333A1,56F797248858845C,339EFA84137DB93CFC31DDBE1F479D06
UNIT-0013,464C58593AD1D3DC,F65B3B69B7230664,08BF17FA7359B385E7D9A4816AB2FA84
UNIT-0014,464C587D1D869D3E,4629DC2D2F27927B,3D4789113985858A47D765DBD9625A76
UNIT-0015,464C588AF9C6298C,067B8A94A473C231,257FC6C0215AB45F25E3E77B5DB9B1EF
UNIT-0016,464C580B07DEA123,8A20A3DAF70A7E35,6EC77FA482C7EBDC49379805AC5E7C22
UNIT-0017,464C5831868A1B36,5E5181CFD5202B12,C2A4A313249B179F90F59824BDFB02D8
UNIT-0018,464C584C4688350C,DEC64C79A2D69562,B14247236DB3892273160CA608209A5C
UNIT-0019,464C5851B8874228,E628AC50B76750DB,0A9FDC70CCF705DCECF1C7982B282A54
UNIT-0020,464C58C156F9B1CB,7652FF53B0AB9D1F,4AF18DBF38902540683AB10F8D55DA38
UNIT-0021,464C58A2A56B0E15,1E7D9D1B7739E7B9,6A084568F9B2168C6661F29CF232835E
UNIT-0022,464C582013FBA8C6,463C95069B157781,FE5D429B01B73FE17DA66DC507217E61
UNIT-0023,464C58BB5FDFC65B,EAE191A6CFA51AE0,546E07440880E3F02131C13CDB3A064F
UNIT-0024,464C584521498B5E,DE0A33BC59EE90A5,17DB974AF10F1302B1065296B633E29F
UNIT-0025,464C582E110D0ADD,B2A8E2E205F11976,FA441D35BCDF1AD38082E35464DD1E7B
UNIT-0026,464C58581357590C,768AB9D4CA666C2E,0390C4A78CE960818110A3559884A36C
UNIT-0027,464C58603FBE6AAE,3A359DC18A5A3ECF,7D9F87147FF3EDEA3331F6D991F976F2
UNIT-0028,464C5808B5CB2CDE,B6D6BD4296E1E045,DF7F26884BF3D5B46ED9950EE71E1E4D
UNIT-0029,464C581EB4014058,4AC001E3D655149B,1D071A90D0EE350BD8323F3874F67E2D
UNIT-0030,464C58611630AFA2,B2DA3EFC5211802B,5055754AD0A80870B9075E0999E606A0
UNIT-0031,464C5864F33CD94B,7E16271348B03A83,A254E7367FF437E034EF25417F82FE95
UNIT-0032,464C581FA9856CAC,42B8A7AB563C7BEC,196C83D12A88D9000E8039BF910ED680
UNIT-0033,464C58C79235A6AC,82D15995F99EB2A2,7F37C7EA4C438C272062F76A756D9497
UNIT-0034,464C58ACE986A8B9,A6BA7FDD18BEF952,AECD1D81D323E34518C39E68CA9A7D9F
UNIT-0035,464C58C43075601D,869AFC2CD4A42B39,7123684B9EE16B23F63654C3AF3C0631
UNIT-0036,464C588A04BF5771,4203B1F7A064FA64,6A94FAFD37B20C62D6AE568F71CEB2A6
UNIT-0037,464C58FBE3BD14C6,0AD4489AAD2A7E41,49E63DD6B16BF21554D259FB6C689A90
UNIT-0038,464C5860E29B67E5,4AA0AEB06AA69E75,8B930905514C1641F1E8E8503FA78E88
UNIT-0039,464C58AF098A4488,F66BA61417F3E7F0,B975730ED2E12ACF2357AEE3F7EB9C78
UNIT-0040,464C5884D5A749A1,5E44CE6B179CB4F2,2DC129F1E637E43FB95B587FE145711D
UNIT-0041,464C5890D37F8B8B,BE96DC431014352C,FFE7BB78965FE1EC45DA0688725B7B7E
UNIT-0042,464C58718132E908,EAF2428A14DBFD07,DB6CE811B1DAB5557F8BBC33F00D850F
